category,welfareType,servId,servNm,agency,department,intrsThemaArray,lifeArray,srvPvsnNm,sprtCycNm,servDgst,servDtlLink,inqNum,contact
제도,기타,SCH00011,유공및저소득층자녀장학생,양양군인재육성장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금) | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 입학 또는 직전학년 재학중의 성적이 재적학년 정원의 100분의 30이내 / 기초생활수급자 및 차상위계층 / 국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀국내 고등학교 진학 및 재학 중인 자 / 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀",http://www.yysc.or.kr,,
제도,기타,SCH00012,특기장학생,양양군인재육성장학회,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ○ 이사회에서 결정(지급년한 : 1년/생활비 명목 장학금) | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 예능/체육/기능에 소질과 재능이 뛰어난 학생으로 신청일 기준 1년 이내에 도 주관이상의 대회에서 입상하여 지역의 명예를 드높인 학생○ 국내 고등학교에 진학 및 재학 중인 자 / 공고일 현재 양양군에 주소를 두고 2년 이상 실제 거주한 주민 또는 그의 자녀",http://www.yysc.or.kr,,
제도,공공기관,SCH00013,새희망힐링펀드 장학사업,신용회복위원회,,교육,청소년,장학금/소득구분,특정기간,"[지원내용] ○ 50만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 저소득 가정의 고등학생(기초생활수급자/ 차상위계층) / 신용회복위원회 채무조정 성실상환자 본인 혹은 그 자녀○ 아동양육시설 입소 중인 자",https://www.crrs.or.kr,,
제도,지자체(출자출연기관),SCH00014,성적우수부문,횡성인재육성장학회,,교육,청소년,장학금/성적우수,특정기간,"[지원내용] ○ 50만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 신입생 : 내신 성적 통지표상 석차백분율 5% 이내인 자○ 재학생 :  직전 두학기 내신등급이 평균 1.3등급 미만인 자(9등급제의 경우 내신등급 평균 2.0등급 미만인 자)○ 특성화고 등 : 성취도 5단계(ABCDE) 성적 산출 학교의 경우 '보통교과/ 전문교과Ⅰ/ 전문교과Ⅱ' 전년도 이수 과목 교과성적 A가  전체 90% 이상인 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 신입생 : 면단위 중학교 졸업자는 학교장이 1명 추천 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자",http://www.hssf.or.kr/,,
제도,지자체(출자출연기관),SCH00015,예능특기부문,횡성인재육성장학회,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ○ 50만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 최근 1년 이내 도교육감 주최 및 중앙단위(전국) 3위 이내 또는 도 단위 1위의 입상 경력이 있는 자 / 신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자",http://www.hssf.or.kr/,,
제도,지자체(출자출연기관),SCH00016,희망장학부문,횡성인재육성장학회,,교육,청소년,장학금/소득구분,특정기간,"[지원내용] ○ 50만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 성적우수 분야○ 신입생:내신성적 통지표상 석차백분율 30% 이내인 자○ 재학생:직전 두 학기 내신등급이 평균 3.5등급 미만인 자(9등급제의 경우 내신등급 평균 6.0등급 미만인 자)○ 특성화고 등 : 성취도 5단계(ABCDE)성적 산출 학교의 경우 보통교과/전문교과I 전문교과II 전년도 이수 교과 성적 평균이 D이상인 자 / 저소득층:기초생활수급권자/차상위계층○ 취약계층:한부모/조부모/다문화 가정으로 부양의무자의 합산 월 소득이 기준중위소득70% 이하(예능분야 및 체육분야는 장애가정 포함)※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 예능/체육분야○ 예고/체고 입학 또는 재학생 ○ 일반고 재학생은 도단위 이상 포상실적 또는 이에 준하는 포상실적이 있는 자(저소득층 및 장애가정) / 전국 종목별 3위 이내 포상실적이 있는 자(한부모·조부모·다문화 가정)※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 신청일 현재 본인 또는 보호자의 주민등록 주소지가 1년 이상 계속하여 횡성군에 등록되어 있는 자",http://www.hssf.or.kr/,,
제도,기타,SCH00017,장학생,한국노총장학문화재단,,교육,청소년,장학금/기타,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 노총산하 조합원 및 일반 근로자 중 직업병으로 인하여 재활교육을 받는학생○ 근로청소년으로서 야간 정규학교에 재학중인자와 순직조합원 및 근로자의 유자녀○ 조합원 및 일반 근로자와 그 자녀·형제·자매(조합원 및 그 형제·자매 중 체육특기자로서 시/도 단위이상의 체육대회에서 입상한 학생)○ 저소득 비정규직 근로자 자녀",http://jh.inochong.org/,,
제도,기타,SCH00018,장학생,연필장학재단,,교육,청소년,장학금/기타,특정기간,"[지원내용] ○ 3년 간 연 2회 각 60만원 지급 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 학교 교장선생님 추천학생을 원칙으로 국가장학금 및 다른 기관 장학금을 받지 않는 학생",http://www.pensaf.dowebi.net/,,
제도,지자체(출자출연기관),SCH00019,장학생,원덕읍향토장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 원덕읍향토장학회 이사회에서 심의 및 의결한 선발인원 및 확정금액 지급 | [대상] 일반고, 1학년2학년3학년제한없음 | [조건] 원덕읍 지역출신의 고등학생 혹은 원덕고등학교 재학생 / 공고일 기준 본인 또는 부모 중 1인 이상 원덕읍 관내에 3년이상 주민등록상 거주한 자",http://www.samcheok.go.kr,,
제도,지자체(출자출연기관),SCH00020,특기장학,삼성면장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 공공기관 및 민간단체가 주최·주관한 전국 규모 이상 대회에서 수상한 자 내지 국가대표로 선발된 고등학생○ 2025.1.1.~2025.12.31. 이내 수상실적이 있는 자○ 단체로 수상한 경우 학교장 추천을 받은 1명만 신청 / 공고일 현재 1년 이상 충북 음성군 삼성면에 주소를 두고 계속 거주하고 있는 면민 또는 면민의 자녀",삼성면장학회.kr,,
제도,지자체(출자출연기관),SCH00021,성적우수장학금,순천시인재육성장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 특성화고/일반계고 : 100만원○ 방송통신고 : 70만원 | [대상] 마이스터고일반고, 1학년2학년3학년 | [조건] 직전학기 성적이 환산평가 점수가 60(100만점) 이상 / 순천시 관내 소재 학교의 재학생 / 공고일 현재 보호자(부 또는 모/후견인) 또는 학생 본인이 순천시에 주민등록을 두고 6개월 이상 계속 거주 하고 있는 고등학생",http://www.scij.kr/,,
제도,지자체(출자출연기관),SCH00022,저소득고등학생,장흥군인재육성장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ※ 기관확인필요 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 신입생:입학성적이 학년 전체인원이 100분의 50이내인 자○ 재학생:2025년도 2학기 성적이 학년 전체인원의 100분의 50이내인 자 / 국민기초생활보장법 상 수급자 / 군내에 거주하고 주소를 둔 국민기초생활보장법 상 수급자 중 고등학교 신입생 또는 재학생 / 신청일 현재 장흥군에 등록기준지 또는 1년 이상 계속해서 주민등록을 두고 군내 초·중 중 1개교 이상을 졸업한 자",http://www.jangheung.go.kr,,
제도,지자체(출자출연기관),SCH00023,특별격려장학생,장흥군인재육성장학회,,교육,청소년,장학금/지역연고,특정기간,[지원내용] ※ 기관확인필요 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고 | [조건] 관내 초중고교 중 1개 이상을 졸업한 자로서 2026년 각 학교 신입생 또는 재학생○ 행정/사법/외무/기술고시 등 국가고시에 합격하여 임용된 자 (향우와 그 자손 포함)※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 학생 또는 보호자가 신청 마감일 기준 장흥군에 1년 이상 주민등록 주소지를 두고 있는 자,http://www.jangheung.go.kr,,
제도,지자체(출자출연기관),SCH00024,특별격려장학생(체육특기자),장흥군인재육성장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ※ 기관확인필요 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 전국체전 또는 소년체전 이상 대회에서 3등 이상 입상자○ 중앙부처가 주최하는 전국 문화.예술 기능대회 등에서 3등 상당 이상 입상자○ 기타 전국단위 대회에서 대통령상 이상 수상자○ 국제대회에 국가대표 자격으로 출전 입상자○ 체육특기자 육성을 위해 장흥군체육회에서 추천한 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 학생 또는 보호자가 신청 마감일 기준 장흥군에 1년 이상 주민등록 주소지를 두고 관내 초중고교 중 1개 이상을 졸업한 자로서 2026년 각 학교 신입생 또는 재학생",http://www.jangheung.go.kr,,
제도,기타,SCH00025,하이원SOS장학,강원랜드사회공헌위원회,,교육,청소년,장학금/지역연고,특정기간,[지원내용] ○ 100만원~300만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고 | [조건] 모집 시작일 기준 1년 이내 발생한 갑작스러운 가정/ 경제 위기상황으로 학업에 심각한 어려움을 겪고 있는 학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 전국 폐광지역(7개 시/군) 소재 중·고등학교 재학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고,http://csr.high1.com,,
제도,기타,SCH00026,우수장학생,수도권매립지주민지원협의체,,교육,청소년,장학금/성적우수,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 2학년3학년 | [조건] 2025년도 1·2학기 성적이 1~2등급 80% 이상인 자 / 고등학생(신입생 제외) / 수도권매립지 주변영향지역에 공고일 기준 현재 2년 이상 거주한 주민 또는 주민의 자녀",https://www.slc.or.kr/,,
제도,지자체(출자출연기관),SCH00027,우(友) 장학금,우덕재단,,교육,청소년,장학금/해당없음,특정기간,"[지원내용] ○ 합격자에 한하여 별도 공개 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년 | [조건] ※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / ※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 국내 고등학교에 재학 중인 대한민국 국적의 학생○ 다문화 가정○ 장애가정 (본인 또는 부모)○ 기초생활수급 등 가정환경이 어려운 가정※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / ※ 자세한 사항은 첨부파일 또는 홈페이지 참고",https://www.udeokfoundation.or.kr/business/uscholarship,,
제도,기타,SCH00028,6.25 참전용사 후손 장학,사회복지공동모금회,,교육,청소년,장학금/해당없음,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 해당없음 / 가구원 소득이 중위소득 100% 이하 / 6.25 참전유공자 후손(고손/증손/손자/자녀) / 공고일 이전부터 주민등록상 경상남도 진주시/사천시/산청군/고성군에서 생활하는 실 거주자",www.mpva.go.kr,,
제도,기타,SCH00029,장학생,재단법인 대정장학재단,,교육,청소년,장학금/기타,특정기간,[지원내용] ○ 연간 300만원 (생활비)○ 심사후 고교 졸업시까지 지급(대학교 진학시 4학년까지 지급) | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고 | [조건] 고등학교 성적 평균점수 75점 이상 / 가족합산 건강보험료 월평균 납입액이 15만원 이하인 자(2024년도 기준) / 2025년도 현재 고등학교 2.3학년 재학생(한 학교당 지원자를 2명으로 제한함)○ 2025년도 제2학기 휴학예정자 지원 불가,http://www.daejungaf.com,,
제도,지자체(출자출연기관),SCH00030,FFK대회 입상자,재단법인구례장학회,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ○ 금:150만원○ 은:100만원○ 동:70만원 | [대상] 과학고, 1학년2학년3학년제한없음 | [조건] 전남자연과학고등학교 재학생○ 2023년 한국영농학생 전진대회(FFK)수상 학생을 학교장이 추천 / 지원대상자 본인이나 그 보호자가 신청일 현재 구례군에 계속해서 주민등록을 두고 2년 이상 거주한 자",https://www.gurye.go.kr,,
제도,기타,SCH00031,성적장학금,당진화력장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 성적 상위 30% 각 100만원○ 성적 상위 50% 각 80만원○ 성적 하위 50% 각 60만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 1학기 학기말 성적 등으로 지급액 결정 / 해당년도 재학생 중 해당 학교장의 추천을 받은 학생 / 발전소 주변지역(석문면 전 지역 및 우정읍 국화도리/안산시 풍도동)에 공고일 현재 5년 이상 실거주하는 주민 또는 자녀",http://www.ewp.co.kr/kor/main/main.asp ,,
제도,기타,SCH00032,복지장학금,당진화력장학회,,교육,청소년,장학금/지역연고,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 신청일 현재 기준 다문화가정/다자녀가정(3자녀 이상)/기초수급자/차상위계층/장애(1~4등급)학생/한부모가정/새터민가정 중 어느 하나에 해당하는 재학생 중 해당 학교장의 추천을 받은 학생 / 발전소 주변지역(석문면 전 지역 및 우정읍 국화도리/안산시 풍도동)에 공고일 기준 5년 이상 실거주하는 주민 또는 자녀",http://www.ewp.co.kr/kor/main/main.asp ,,
제도,기타,SCH00033,특기장학금,당진화력장학회,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 신청일 현재 기준 최근 1년 이내 예·체능 분야에서 교육청 및 시/군단위 이상의 대회에서 입상한 학생 중 해당 학교장의 추천을 받은 학생 / 발전소 주변지역(석문면 전 지역 및 우정읍 국화도리/안산시 풍도동)에 공고일 기준 5년 이상 실거주하는 주민 또는 자녀",http://www.ewp.co.kr/kor/main/main.asp ,,
제도,지자체(출자출연기관),SCH00034,인재육성장학금(우수),통영시지속가능발전교육재단,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ○ 1인 최대 1000만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 우수장학생○ 예·체·능에 재능있는 고등학생으로 문학 예술 체육 등 특정분야에 재능이 우수하여 전국단위 공인대회 3위 이내 또는 도단위 공인대회 1위 이내에 입상한 사람○ 그 밖에 위원회에서 발전 가능성을 인정한 사람 / 본인이 통영시 관할 학교를 6년 이상 재학하거나 주민등록상 6년 이상 통영시에 주소를 두고 직계존속이 공고일 현재 통영시에 주민등록이 되어있고 10년 이상 주소를 둔 자",http://tyrce.or.kr/main/main.php,,
제도,기타,SCH00035,예체능장학생,심헌문화재단,,교육,청소년,장학금/특기자,특정기간,"[지원내용] ※ 기관확인필요 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 차상위계층/ 기초생활수급권 등 가정형편이 어려운 학생 우대 / 문화/예술/체육 등 예체능 분야에 특별한 소질이 있는 관내 고등학생○ 대회 입상자 우대",https://www.simhun.or.kr,,
제도,기타,SCH00036,장학생,인슐레이션코리아드림재단,,교육,청소년,장학금/기타,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 고등학생○ 학업성적이 우수한 자 또는 저소득층 자녀※ 자세한 사항은 첨부파일 또는 홈페이지 참고",http://www.ikdream.kr,,
제도,기타,SCH00037,장학생,계룡장학재단,,교육,청소년,장학금/해당없음,특정기간,"[지원내용] ○ 고등학교 1년간 학습보조비 지원금 200만원 (학기별 100만원 지급) | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 학습능력이 우수한 학생 / 기초생활수급/차상위계층/한부모가정/본인 또는 부모 장애 / 2026년도 고등학교 입학 예정자 또는 재학생○ 경제적 형편이 어려우나 학습능력이 우수한 사회배려층 자녀",https://krfoundation.krcon.co.kr,,
제도,기타,SCH00038,장학금,예향교회,,교육,청소년,장학금/기타,특정기간,"[지원내용] ○ 50만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 신입생의 경우 중학교 성적 적용 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 가정형편을 고려하여 선발 / 지급일 현재 세례교인 이상(교회등록 1년 이상인 자)○ 교육부에서 인정한 고등학생",http://yeahyang.net/,,
제도,기타,SCH00039,장학생,녹색교통,,교육,청소년,장학금/기타,특정기간,"[지원내용] ○ 장학금 50만원○ 문화체험 활동 등의 교육사업 ○ 기타 지원 사업○ 장학금은 불기별 지원(1/4/7/10월 지급)※ 자세한 사항은 첨부파일 또는 홈페이지 참고 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 기초생활수급가정 / 한부모지원가정 / 차상위계층을 포함한 중위소득 70% 내외 가정 / 교통사고로 부모가 사망했거나 중증후유장애를 입은 가정의 자녀○ 교통안전공단에서 장학금을 받지 못하는 가정의 자녀○ 고등학교 재학생",http://www.greentransport.org,,
제도,지자체(출자출연기관),SCH00040,배움나래장학생,재단법인 인천동구장학재단,,교육,청소년,장학금/해당없음,특정기간,"[지원내용] ○ 20만원 이내 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 2학년 | [조건] 고등학교 2학년 재학생 중 수학여행 경비 신청자 / 공고일 기준 본인 또는 보호자가 인천광역시 동구에 2년이상 주민등록을 두고 있는 자",https://www.icdonggu.go.kr/,,
제도,지자체(출자출연기관),SCH00041,희망드림장학생,재단법인 인천동구장학재단,,교육,청소년,장학금/해당없음,특정기간,"[지원내용] ○ 100만원 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 가정형편이 어려운 아래 저소득층 기준을 충족하는 자○ 국민기초생활 보장법 상 기초생활수급자 차상위계층○ 한부모가족지원법 상 한부모가족○ 가정형편이 어려워 학교장 또는 동장 등이 추천한 중위소득 100% 이하 가구 학생※ 자세한 사항은 첨부파일 또는 홈페이지 참고 / 공고일 기준 본인 또는 보호자가 인천광역시 동구에 2년 이상 주민등록을 두고 있는 자",https://www.icdonggu.go.kr/,,
제도,기타,SCH00042,꿈이룸 가형 장학금,한국방정환재단,,교육,청소년,장학금/소득구분,특정기간,"[지원내용] ○ 100만원~200만원○ 수업료 및 기타경비(학교운영비/ 방과후수강권/ 체험학습비/ 수학여행비 등) 용도로 사용가능 | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 1학년2학년3학년제한없음 | [조건] 웰컴금융그룹 고객 본인 및 고객 자녀로서 가정 경제상황의 악화로 장학금이 필요한 고등학생",http://www.welcomefg.co.kr,,
제도,기타,SCH00043,꿈이룸 나형 장학금,한국방정환재단,,교육,청소년,장학금/성적우수,특정기간,"[지원내용] ○ 100~240만원(심사결과에 따라 차등지급)○ 수업료 및 기타 교육경비(학교운영비/ 급식비/ 방과후수강권/ 체험학습비/ 수학여행비 등) | [대상] 과학고국제고마이스터고영재고예술고외국어고일반고자율고제한없음체육고, 2학년3학년 | [조건] 최근 1년 학업성적 상위 15% 이내 (학년 석차 기준)○ 고교학점제 시행학교의 경우 보통교과 상위 15% 이내 및 진로선택과목 성취도 평균 B이상 / 웰컴금융그룹 고객 자녀○ 2025년 기준 고등학교 2학년 이상인 학생",http://www.welcomefg.co.kr,,
